provincia,jardines,primarias,secundarias,SNU,"sum(""Poblacion jardines"")","sum(""poblacion primarias"")","sum(""Poblacion secundarias"")","sum(""poblacion superiores no universitarios"")"
Buenos Aires,5539.0,5881.0,4670.0,632.0,1310245.0,1959610.0,1386294.0,12752757.0
Córdoba,1923.0,2064.0,1051.0,254.0,288675.0,402659.0,286152.0,2834578.0
Santa Fe,1617.0,1735.0,930.0,235.0,269678.0,372487.0,256357.0,2620537.0
Ciudad Autónoma de Buenos Aires,900.0,893.0,500.0,259.0,155314.0,236991.0,171422.0,2531727.0
Mendoza,1129.0,874.0,406.0,112.0,163235.0,239562.0,163690.0,1464286.0
Tucumán,841.0,759.0,595.0,95.0,144501.0,201616.0,138920.0,1242300.0
Salta,855.0,831.0,349.0,103.0,129083.0,184107.0,123816.0,997219.0
Entre Ríos,1177.0,1266.0,572.0,100.0,112373.0,158523.0,109992.0,1034209.0
Misiones,1048.0,1234.0,625.0,123.0,124982.0,170562.0,111635.0,866168.0
Corrientes,836.0,905.0,340.0,103.0,107780.0,143824.0,99751.0,858316.0
Chaco,776.0,1179.0,415.0,178.0,100579.0,136096.0,92544.0,795384.0
Santiago del Estero,1033.0,1257.0,662.0,70.0,98778.0,132695.0,93024.0,733255.0
San Juan,382.0,420.0,288.0,40.0,73428.0,100925.0,71079.0,574013.0
Jujuy,437.0,423.0,249.0,60.0,64626.0,97663.0,67527.0,579548.0
Río Negro,373.0,394.0,218.0,67.0,56385.0,84644.0,58368.0,548300.0
Neuquén,312.0,376.0,157.0,51.0,54121.0,82039.0,56298.0,516120.0
Formosa,481.0,581.0,337.0,49.0,54652.0,76715.0,52924.0,421216.0
Chubut,285.0,243.0,183.0,49.0,44997.0,67959.0,47793.0,428705.0
San Luis,243.0,368.0,379.0,19.0,41611.0,60436.0,46326.0,392175.0
Catamarca,326.0,449.0,234.0,34.0,34005.0,47366.0,35257.0,310997.0
La Rioja,296.0,365.0,207.0,38.0,29303.0,42995.0,31368.0,278787.0
La Pampa,201.0,195.0,163.0,21.0,26525.0,40013.0,28303.0,264352.0
Santa Cruz,97.0,118.0,87.0,10.0,27918.0,42038.0,29325.0,236396.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",52.0,62.0,47.0,14.0,14803.0,21546.0,15073.0,133536.0
