provincia,jardines,primarias,secundarias,SNU
Buenos Aires,5539.0,5881.0,34.592592592592595,632.0
Catamarca,326.0,449.0,14.625,34.0
Chaco,776.0,1179.0,16.6,178.0
Chubut,285.0,243.0,12.2,49.0
Ciudad Autónoma de Buenos Aires,900.0,893.0,33.333333333333336,259.0
Corrientes,836.0,905.0,13.6,103.0
Córdoba,1923.0,2064.0,40.42307692307692,254.0
Entre Ríos,1177.0,1266.0,33.64705882352941,100.0
Formosa,481.0,581.0,37.44444444444444,49.0
Jujuy,437.0,423.0,15.5625,60.0
La Pampa,201.0,195.0,7.409090909090909,21.0
La Rioja,296.0,365.0,11.5,38.0
Mendoza,1129.0,874.0,22.555555555555557,112.0
Misiones,1048.0,1234.0,36.76470588235294,123.0
Neuquén,312.0,376.0,9.8125,51.0
Río Negro,373.0,394.0,16.76923076923077,67.0
Salta,855.0,831.0,15.173913043478262,103.0
San Juan,382.0,420.0,15.157894736842104,40.0
San Luis,243.0,368.0,42.111111111111114,19.0
Santa Cruz,97.0,118.0,12.428571428571429,10.0
Santa Fe,1617.0,1735.0,48.94736842105263,235.0
Santiago del Estero,1033.0,1257.0,24.51851851851852,70.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",52.0,62.0,23.5,14.0
Tucumán,841.0,759.0,35.0,95.0
